Epoch,Train_Loss,Val_Loss,Learning_Rate,Time_s,Peak_VRAM_MB
1,0.092938,0.039463,0.000100,1641.54,11482.92
2,0.033267,0.032191,0.000100,1479.02,11482.92
3,0.030871,0.029055,0.000099,1476.48,11482.92
4,0.027251,0.029192,0.000099,1473.26,11482.92
5,0.028862,0.025731,0.000098,1471.94,11482.92
6,0.024947,0.026607,0.000097,1476.95,11482.92
7,0.025451,0.024992,0.000096,1470.51,11482.92
8,0.026697,0.023691,0.000095,1475.51,11482.92
9,0.024084,0.026409,0.000093,1476.43,11482.92
10,0.025175,0.023729,0.000091,1484.47,11919.40
11,0.024357,0.025206,0.000090,1326.76,11914.30
12,0.023933,0.026162,0.000088,1321.57,11914.30

13,0.022249,0.023527,0.000076,222.10,15615.18
14,0.023508,0.026063,0.000073,202.01,15615.56
15,0.024391,0.023781,0.000070,202.89,15615.56
16,0.023711,0.024859,0.000067,201.92,15615.56
17,0.023630,0.024615,0.000064,201.74,15615.56
18,0.023291,0.023940,0.000061,202.52,15615.56
19,0.022360,0.022446,0.000058,202.00,15615.56
19,0.021586,0.021069,0.000058,202.27,14741.19
20,0.021063,0.021833,0.000055,201.22,14741.48
21,0.022140,0.021849,0.000051,201.06,14741.48
22,0.021660,0.021120,0.000029,197.52,18001.68
23,0.020572,0.024222,0.000026,196.50,18001.68
24,0.021720,0.021685,0.000024,197.77,18001.68
25,0.021402,0.025516,0.000021,198.50,18001.68
26,0.021274,0.022948,0.000018,198.50,18001.68
27,0.021186,0.021189,0.000016,196.65,18001.68
28,0.019580,0.024421,0.000014,196.54,18001.68
29,0.020545,0.022744,0.000012,197.13,18001.68
30,0.019988,0.020271,0.000010,196.73,18001.68
31,0.019821,0.022116,0.000008,196.23,18001.68
32,0.019430,0.020645,0.000006,196.20,18001.68
33,0.019313,0.022388,0.000005,196.48,18001.68
34,0.020287,0.022750,0.000003,196.33,18001.68
35,0.019969,0.020186,0.000002,196.57,18001.68
36,0.020878,0.020496,0.000001,196.29,18001.68
37,0.020063,0.020306,0.000001,197.94,18001.68
38,0.020780,0.022179,0.000000,198.20,18001.68
39,0.019882,0.023094,0.000000,198.51,18001.68
40,0.020759,0.019110,0.000000,196.39,18001.68
41,0.020945,0.022164,0.000000,196.35,18001.68
42,0.019111,0.021010,0.000001,197.37,18001.68
43,0.019771,0.021784,0.000001,198.38,18001.68
44,0.020493,0.021441,0.000002,198.20,18001.68
45,0.020891,0.020321,0.000003,198.38,18001.68
46,0.020312,0.019359,0.000004,198.10,18001.68
47,0.020624,0.021647,0.000005,198.19,18001.68
48,0.020436,0.021221,0.000007,196.59,18001.68
49,0.020658,0.019477,0.000009,196.24,18001.68
50,0.021064,0.021037,0.000010,197.36,18001.68
