Epoch,D_Loss,G_Loss,D_Accuracy,Img_Variance,Time(s),Latency(ms),VRAM(MB)
1,-8.792,-298.884,0.500,0.394,97.923,512.888,8907.777
2,-9.353,-646.340,0.500,0.358,97.228,510.398,8908.402
3,-2.796,-617.189,0.500,0.441,97.211,504.910,8910.527
4,-5.703,-664.065,0.500,0.442,97.341,511.283,8908.402
5,-13.344,-1002.232,0.500,0.388,97.425,510.194,8908.402
6,-10.808,-1011.557,0.500,0.446,96.757,501.323,8908.152
7,-6.420,-1597.791,0.500,0.408,96.520,504.534,8910.277
8,-3.342,-1600.248,0.500,0.356,96.547,502.687,8908.777
9,2.447,-1980.117,0.500,0.423,96.736,502.188,8907.902
10,-8.609,-2220.542,0.500,0.431,96.676,503.692,8908.027
11,-9.758,-2389.203,0.500,0.354,97.034,511.812,8907.902
12,-5.900,-2906.502,0.500,0.382,97.120,504.879,8909.152
13,3.142,-3292.115,0.500,0.374,96.567,504.413,8909.277
14,-0.773,-3860.504,0.500,0.386,96.793,506.093,8909.652
15,-7.159,-3743.518,0.500,0.414,96.427,507.544,8909.277
16,0.585,-4327.975,0.500,0.425,97.855,506.102,8908.902
17,-6.569,-5240.294,0.500,0.423,97.179,504.251,8908.902
18,-5.950,-5961.048,0.500,0.404,97.408,505.503,8908.152
19,-7.265,-6028.639,0.500,0.465,96.956,503.001,8908.277
20,-0.254,-6872.219,0.500,0.408,96.829,505.087,8907.277
21,-6.285,-7787.367,0.500,0.382,97.112,506.311,8907.777
22,-4.553,-8393.941,0.500,0.412,96.938,507.423,8908.777
23,-13.560,-10145.802,0.500,0.414,97.094,505.599,8908.777
24,-4.655,-10153.986,0.500,0.380,97.042,504.856,8908.527
25,-8.426,-11590.159,0.500,0.339,97.174,507.666,8908.527
26,-8.724,-11708.484,0.500,0.447,97.280,505.382,8908.277
27,-17.696,-11048.811,0.500,0.349,97.012,508.281,8909.152
28,-15.737,-11706.076,0.500,0.456,97.095,505.803,8908.277
29,0.387,-12871.251,0.500,0.404,96.959,506.350,8908.777
30,-3.774,-12484.112,0.500,0.411,97.022,507.073,8907.902
31,2.533,-14193.219,0.500,0.453,97.236,506.358,8909.527
32,-6.241,-16454.594,0.500,0.449,97.032,504.997,8908.402
33,3.588,-15454.770,0.500,0.340,97.161,507.695,8909.152
34,-6.777,-17629.566,0.500,0.413,97.273,505.364,8907.777
35,-4.010,-18105.363,0.500,0.471,97.142,506.001,8909.652
36,-12.350,-19232.389,0.500,0.390,97.186,507.666,8909.277
37,-35.611,-19046.043,0.500,0.452,97.167,505.977,8909.402
38,-4.702,-17860.453,0.500,0.348,97.073,505.677,8908.402
39,-13.975,-20175.297,0.500,0.446,97.090,504.951,8909.152
40,-19.415,-18209.459,0.500,0.379,97.244,505.455,8909.027
41,-23.311,-18567.508,0.500,0.526,97.260,506.474,8908.027
42,-8.549,-21074.043,0.500,0.399,97.042,504.825,8908.277
43,-3.726,-22140.293,0.500,0.344,97.090,505.447,8908.277
44,-2.849,-21103.227,0.500,0.364,97.129,508.183,8908.152
45,-12.892,-21972.014,0.500,0.398,97.075,506.607,8909.027
46,-11.614,-27117.043,0.500,0.382,97.045,506.500,8908.402
47,-17.312,-26949.961,0.500,0.337,97.254,507.303,8907.527
48,-10.850,-25459.355,0.500,0.360,97.529,512.757,8907.402
