Epoch,Train_Loss,L1_Recon,KLD,Train_PSNR,Val_L1,Val_PSNR,Time(s),Latency(ms),VRAM(MB),FLOPS(G)
1,280276.9203,279620.0915,6568.2952,12.63,209012.1304,14.34,84.4,15.99,1216.42,6.85
2,197146.2588,196274.3226,8719.3589,14.67,180190.1334,15.01,85.4,7.00,1222.32,6.85
3,178133.9132,177100.0845,10338.2900,15.14,173047.9440,15.30,86.4,10.00,1222.32,6.85
4,169517.5462,168342.7764,11747.7019,15.37,164513.0916,15.47,96.4,15.00,1222.32,6.85
5,163321.4899,162039.6416,12818.4759,15.59,159300.6511,15.69,87.8,6.96,1222.32,6.85
6,159117.9589,157740.9934,13769.6598,15.76,158466.0744,15.54,86.1,7.01,1222.32,6.85
7,156423.4212,154964.2065,14592.1447,15.85,155747.6948,15.71,85.0,8.00,1222.32,6.85
8,154607.9273,153094.1899,15137.3765,15.93,151848.2656,15.97,90.2,6.91,1222.32,6.85
9,152132.6918,150575.2259,15574.6619,16.04,149980.3992,15.98,84.6,14.01,1222.32,6.85
10,150669.9102,149060.3498,16095.6025,16.10,154529.6614,15.81,83.5,7.08,1222.32,6.85
11,148697.3321,147045.3812,16519.5072,16.22,147689.1510,16.17,84.1,17.00,1222.32,6.85
12,146638.1764,144942.8507,16953.2564,16.32,147183.8225,16.08,87.3,7.00,1222.32,6.85
13,145143.9507,143404.7245,17392.2546,16.40,149836.8669,16.22,83.0,8.01,1222.32,6.85
14,144476.7779,142694.1651,17826.1211,16.45,145419.7503,16.22,87.2,16.99,1222.32,6.85
15,142544.0580,140719.9297,18241.2770,16.56,146277.8691,16.29,87.2,8.01,1222.32,6.85
16,141357.0218,139490.5148,18665.0681,16.63,140770.1433,16.46,85.1,7.00,1222.32,6.85
17,140184.5757,138273.6885,19108.8694,16.70,141943.3179,16.42,85.3,3.01,1222.32,6.85
18,139147.5593,137209.3374,19382.2129,16.77,138959.6177,16.57,81.1,5.01,1222.32,6.85
19,137773.5361,135801.5332,19720.0281,16.85,139005.3719,16.73,81.8,6.00,1222.32,6.85
20,136651.2635,134649.3805,20018.8333,16.91,138257.0345,16.59,81.9,3.00,1222.32,6.85
21,136637.0462,134625.2252,20118.2086,16.92,135532.1515,16.80,81.2,3.98,1222.32,6.85
22,135395.8720,133364.8779,20309.9454,16.99,136583.8147,16.73,80.3,4.01,1222.32,6.85
23,134467.6132,132424.6054,20430.0798,17.05,136243.3974,16.77,81.6,3.01,1222.32,6.85
24,134635.0378,132579.4217,20556.1593,17.06,136792.0019,16.89,81.1,6.33,1222.32,6.85
25,133583.0734,131511.5916,20714.8191,17.13,135141.9708,16.80,82.2,4.00,1222.32,6.85
26,132627.6246,130547.6618,20799.6264,17.17,133631.6565,16.98,81.4,3.00,1222.32,6.85
27,132047.8453,129958.4766,20893.6835,17.21,134320.2204,16.95,81.0,3.00,1222.32,6.85
28,131409.3635,129302.0950,21072.6850,17.24,131991.7880,17.02,80.8,7.00,1222.32,6.85
29,131024.9178,128914.8484,21100.6965,17.28,133187.9067,16.99,81.6,4.00,1222.32,6.85
30,130898.6401,128765.6486,21329.9066,17.29,131669.1882,17.10,81.2,3.17,1222.32,6.85
31,129577.2164,127441.3435,21358.7296,17.36,131110.9803,17.09,81.1,3.55,1222.32,6.85
32,129805.6930,127655.0112,21506.8216,17.35,131003.4830,17.10,81.7,3.00,1222.32,6.85
33,129288.6506,127134.7081,21539.4283,17.39,133503.5502,17.04,81.7,3.00,1222.32,6.85
34,128681.2358,126517.4007,21638.3540,17.42,129808.0735,17.21,81.1,4.00,1222.32,6.85
35,128420.3325,126248.4465,21718.8581,17.45,131316.4616,17.10,81.6,4.02,1222.32,6.85
36,127927.0460,125753.7396,21733.0664,17.48,128308.0176,17.33,83.6,3.02,1222.32,6.85
37,127481.1922,125299.5277,21816.6473,17.50,129365.3322,17.21,80.3,3.00,1222.32,6.85
38,127578.1940,125394.1448,21840.4918,17.51,129073.4886,17.32,80.3,7.00,1222.32,6.85
39,126767.1161,124568.2289,21988.8736,17.56,132310.3335,17.06,80.2,3.00,1222.32,6.85
40,127051.2240,124846.3264,22048.9765,17.55,130612.3200,17.15,80.0,4.03,1222.32,6.85
41,125928.2412,123724.7222,22035.1914,17.60,128163.2720,17.31,81.2,3.00,1222.32,6.85
42,125661.5291,123437.0289,22244.9997,17.63,127824.5349,17.34,82.6,3.00,1222.32,6.85
43,125385.2543,123161.8493,22234.0462,17.64,127014.0535,17.33,80.4,7.02,1222.32,6.85
44,125195.1206,122974.9691,22201.5117,17.65,128046.8318,17.33,82.6,4.46,1222.32,6.85
45,124701.8384,122467.3726,22344.6576,17.71,128911.4789,17.29,81.5,4.00,1222.32,6.85
46,124210.5235,121963.8582,22466.6577,17.72,125785.9709,17.43,82.6,4.09,1222.32,6.85
47,123944.1493,121696.7895,22473.5962,17.73,128187.9151,17.41,82.2,6.32,1222.32,6.85
48,123881.7611,121630.5207,22512.4053,17.75,125936.9898,17.49,80.0,7.00,1222.32,6.85
49,123356.0475,121101.3128,22547.3456,17.78,126533.2047,17.37,81.9,6.00,1222.32,6.85
50,123353.2444,121090.6299,22626.1450,17.79,126470.8557,17.50,81.9,5.00,1222.32,6.85
51,123518.6479,121263.4527,22551.9521,17.78,125209.1374,17.56,80.7,5.00,1222.32,6.85
52,122890.2779,120620.3806,22698.9733,17.82,124827.8281,17.58,81.9,3.45,1222.32,6.85
53,122984.0004,120715.5590,22684.4141,17.81,125634.7291,17.40,82.0,5.50,1222.32,6.85
54,121997.0761,119730.1302,22669.4618,17.86,125057.5942,17.48,105.4,11.04,1222.32,6.85
55,122150.6802,119882.2623,22684.1809,17.87,124116.7247,17.58,100.2,8.88,1222.32,6.85
56,121589.9416,119301.5989,22883.4277,17.90,126395.1137,17.39,99.7,7.89,1222.32,6.85
57,121487.2779,119206.3045,22809.7353,17.90,123702.4754,17.62,95.2,14.97,1222.32,6.85
58,121246.3446,118959.1085,22872.3606,17.92,124489.9316,17.56,83.0,2.99,1222.32,6.85
59,120713.7245,118417.0106,22967.1335,17.95,124171.8036,17.59,81.2,7.02,1222.32,6.85
