Epoch,Train_Loss,Train_PSNR,Val_Accuracy,Val_AUC,Time(s),Latency(ms),VRAM(MB),FLOPS(G)
1,61911003345.5569,14.93,0.6890,0.8911,60.44,8.10,1183.31,6.84
2,32794.9893,17.02,0.7050,0.8952,61.88,4.27,1183.31,6.84
3,31424.8860,17.21,0.7110,0.8948,61.44,9.50,1183.31,6.84
4,30703.2352,17.31,0.7250,0.9017,59.99,5.00,1183.31,6.84
5,30069.7631,17.42,0.7210,0.9020,59.36,7.51,1183.31,6.84
6,29405.5731,17.52,0.7260,0.9037,58.92,11.00,1183.31,6.84
7,28919.4863,17.59,0.7290,0.9050,64.09,4.00,1183.31,6.84
8,28685.4996,17.63,0.7170,0.9000,61.32,8.01,1183.31,6.84
9,28488.7000,17.68,0.7160,0.8998,59.04,8.01,1183.31,6.84
10,27927.9758,17.77,0.7430,0.9111,59.48,8.01,1183.31,6.84
11,27707.2608,17.80,0.7410,0.9112,58.52,5.00,1183.31,6.84
12,27515.0074,17.85,0.7480,0.9132,59.09,4.00,1183.31,6.84
13,27323.2238,17.88,0.7450,0.9142,60.19,3.30,1183.31,6.84
14,26923.0212,17.95,0.7480,0.9133,59.22,6.00,1183.31,6.84
15,26710.1833,17.99,0.7480,0.9157,58.86,8.00,1183.31,6.84
16,26402.5501,18.04,0.7510,0.9166,59.74,3.24,1183.31,6.84
17,26079.0080,18.10,0.7510,0.9184,58.86,4.00,1183.31,6.84
18,25805.4715,18.15,0.7570,0.9194,59.86,4.00,1183.31,6.84
19,25696.3671,18.17,0.7610,0.9211,58.67,3.00,1183.31,6.84
20,25854.5255,18.16,0.7560,0.9207,58.49,4.00,1183.31,6.84
21,25280.1877,18.27,0.7610,0.9199,58.79,8.05,1183.31,6.84
22,25245.4923,18.27,0.7570,0.9223,58.59,4.00,1183.31,6.84
23,25005.0529,18.31,0.7630,0.9226,58.81,5.00,1183.31,6.84
24,24612.4394,18.38,0.7590,0.9226,60.20,10.57,1183.31,6.84
25,24554.4092,18.39,0.7600,0.9234,59.41,4.00,1183.31,6.84
26,24376.0133,18.43,0.7610,0.9243,59.49,5.01,1183.31,6.84
27,24208.7572,18.47,0.7650,0.9255,71.63,14.96,1183.31,6.84
28,24287.1270,18.46,0.7650,0.9245,75.22,12.07,1183.31,6.84
29,24005.3398,18.51,0.7640,0.9250,75.51,12.00,1183.31,6.84
30,23810.1286,18.54,0.7680,0.9245,75.66,14.87,1183.31,6.84
31,23737.8310,18.57,0.7650,0.9267,75.85,10.64,1183.31,6.84
32,23560.2106,18.58,0.7650,0.9232,78.64,12.30,1183.31,6.84
33,23701.2760,18.57,0.7650,0.9260,76.39,12.25,1183.31,6.84
34,23269.5617,18.65,0.7690,0.9273,79.46,9.00,1183.31,6.84
35,23089.4606,18.69,0.7700,0.9282,76.60,13.01,1183.31,6.84
36,23048.6018,18.71,0.7680,0.9271,66.02,10.96,1183.31,6.84
37,22790.6288,18.75,0.7720,0.9274,65.31,11.04,1183.31,6.84
38,22795.5304,18.75,0.7770,0.9289,68.41,19.33,1183.31,6.84
39,22649.5327,18.78,0.7730,0.9289,62.73,11.98,1183.31,6.84
40,22447.5896,18.84,0.7780,0.9305,76.17,16.58,1183.31,6.84
41,22453.8170,18.84,0.7810,0.9302,77.41,11.00,1183.31,6.84
42,22296.6298,18.87,0.7780,0.9308,74.73,9.88,1183.31,6.84
43,22280.3276,18.87,0.7790,0.9305,65.82,4.01,1183.31,6.84
44,22056.5449,18.93,0.7810,0.9311,59.39,4.00,1183.31,6.84
45,22122.3559,18.92,0.7770,0.9307,59.68,4.01,1183.31,6.84
46,21846.4712,18.97,0.7830,0.9324,59.27,11.03,1183.31,6.84
47,21832.6625,18.97,0.7840,0.9320,71.77,5.00,1183.31,6.84
48,21796.7170,18.98,0.7880,0.9331,58.28,10.88,1183.31,6.84
49,21554.5035,19.03,0.7840,0.9333,61.72,3.43,1183.31,6.84
50,21424.4028,19.07,0.7800,0.9332,59.28,11.12,1183.31,6.84
